"Easting","Northing","ICS_max","Date"
231500,571500,0,"1995-03-01"
231500,572000,0,"1995-03-01"
231500,572500,0,"1995-03-01"
231500,573000,0,"1995-03-01"
231500,573500,0,"1995-03-01"
231500,574000,0,"1995-03-01"
231500,574500,0,"1995-03-01"
231500,575000,0,"1995-03-01"
231500,575500,0,"1995-03-01"
231500,576000,0,"1995-03-01"
231500,576500,0,"1995-03-01"
231500,577000,0,"1995-03-01"
231500,577500,0,"1995-03-01"
231500,578000,0,"1995-03-01"
231500,578500,0,"1995-03-01"
231500,579000,0,"1995-03-01"
231500,579500,0,"1995-03-01"
231500,580000,0,"1995-03-01"
231500,580500,0,"1995-03-01"
231500,581000,0,"1995-03-01"
231500,581500,0,"1995-03-01"
231500,582000,0,"1995-03-01"
231500,582500,0,"1995-03-01"
231500,583000,0,"1995-03-01"
231500,583500,0,"1995-03-01"
231500,584000,0,"1995-03-01"
231500,584500,0,"1995-03-01"
231500,585000,0,"1995-03-01"
231500,585500,0,"1995-03-01"
231500,586000,0,"1995-03-01"
231500,586500,0,"1995-03-01"
231500,587000,0,"1995-03-01"
231500,587500,0.0204859405326829,"1995-03-01"
231500,588000,0.0228190095896505,"1995-03-01"
231500,588500,0.0337413362234625,"1995-03-01"
231500,589000,0.0437209024165453,"1995-03-01"
231500,594500,0,"1995-03-01"
231500,595000,0,"1995-03-01"
231500,595500,0,"1995-03-01"
231500,596000,0,"1995-03-01"
231500,596500,0,"1995-03-01"
231500,597000,0.0494921915722814,"1995-03-01"
231500,597500,0.0499739930430255,"1995-03-01"
231500,598000,0.0503903758750449,"1995-03-01"
231500,598500,0.0510012613641943,"1995-03-01"
231500,599000,0.051078342400859,"1995-03-01"
231500,599500,0.050944612761902,"1995-03-01"
231500,6e+05,0,"1995-03-01"
231500,605000,0.0607107331200584,"1995-03-01"
231500,605500,0.0500121350243522,"1995-03-01"
231500,606000,0.0512332456714849,"1995-03-01"
231500,606500,0.0521035212555192,"1995-03-01"
231500,607000,0.0539460582407974,"1995-03-01"
231500,607500,0.053885320039784,"1995-03-01"
231500,608000,0.0497486554515239,"1995-03-01"
231500,608500,0.0393008135430651,"1995-03-01"
231500,609000,0.0303964013189677,"1995-03-01"
231500,609500,0.0294463577218392,"1995-03-01"
