"","X","Datetime","Easting","Northing","Depth","Magnitude","Date","V","Year"
"254",424,"04/03/2006 04:32:34",245628,573825,3,1.76577,"2006-03-04",5.77268914031117,2006
"255",425,"21/03/2006 14:50:34",246185,591480,3,2.37398,"2006-03-21",2.28917349626367,2006
"256",426,"23/03/2006 03:12:24",247780,589451,3,2.24152,"2006-03-23",1.04503631521986,2006
"257",429,"05/04/2006 01:41:10",255087,596314,3,1.43527,"2006-04-05",8.02951288774454,2006
"258",430,"12/04/2006 05:20:29",251701,587989,3,1.19424,"2006-04-12",4.24874867721591,2006
"259",431,"13/04/2006 07:38:52",239084,584467,3,1.52657,"2006-04-13",6.91217876006351,2006
"260",432,"16/04/2006 13:51:52",248055,592462,3,1.92308,"2006-04-16",2.06235416391599,2006
"261",433,"16/04/2006 18:44:54",247162,592704,3,1.1234,"2006-04-16",2.52483501989055,2006
"262",434,"19/04/2006 17:39:15",241450,595213,3,1.58795,"2006-04-19",3.09572304170659,2006
"263",435,"22/04/2006 03:41:54",245914,594016,3,1.47877,"2006-04-22",3.56386420640216,2006
"264",436,"22/04/2006 17:03:13",235591,600232,3,0.360046,"2006-04-22",4.58489184428549,2006
"265",437,"23/04/2006 01:18:18",254655,595692,3,0.875844,"2006-04-23",7.82499431882592,2006
"266",439,"02/05/2006 16:52:01",248937,592832,3,1.02947,"2006-05-02",2.53446475547622,2006
"267",440,"03/05/2006 19:16:37",246988,590140,3,1.23465,"2006-05-03",1.24669647269814,2006
"268",441,"07/05/2006 16:11:32",243541,596236,3,1.35344,"2006-05-07",2.84404518609227,2006
"269",442,"22/05/2006 20:23:41",242531,584602,3,0.872332,"2006-05-22",4.38967764010434,2006
"270",443,"06/06/2006 03:17:34",249993,584392,3,1.35173,"2006-06-06",5.9540270020182,2006
"271",444,"08/06/2006 23:31:06",241977,584481,3,0.752569,"2006-06-08",4.64224626394235,2006
"272",445,"16/06/2006 21:06:47",247205,590442,3,1.60763,"2006-06-16",1.00184080529641,2006
"273",446,"17/06/2006 02:43:09",247084,590940,3,1.1845,"2006-06-17",1.24308942538609,2006
