"","Datetime","Easting","Northing","Depth","Magnitude","Date"
"295","06/02/2003 19:25:25",247165,586748,3,0.321745,"2003-02-06"
"296","11/02/2003 19:29:50",247299,597123,3,1.34859,"2003-02-11"
"297","12/02/2003 06:22:20",250050,587121,3,0.803168,"2003-02-12"
"298","14/02/2003 06:54:24",204142,573483,3,1.81641,"2003-02-14"
"299","28/02/2003 21:54:18",244409,597327,3,0.703721,"2003-02-28"
"300","03/03/2003 20:51:22",239848,597856,3,2.17023,"2003-03-03"
"301","06/03/2003 20:15:19",246414,573543,3,0.944801,"2003-03-06"
"302","09/03/2003 05:31:27",238383,599111,3,1.06472,"2003-03-09"
"303","23/03/2003 16:00:03",247738,608801,3,1.47976,"2003-03-23"
"304","29/03/2003 21:09:01",241425,584212,3,0.41871,"2003-03-29"
"305","01/04/2003 00:25:52",252489,598469,3,0.34874,"2003-04-01"
"306","02/04/2003 20:19:49",243663,595643,3,1.89711,"2003-04-02"
"307","05/04/2003 16:49:48",238030,580998,3,0.32744,"2003-04-05"
"308","06/04/2003 00:07:51",248918,588137,3,0.0701034,"2003-04-06"
"309","06/04/2003 00:57:28",246057,580624,3,1.03432,"2003-04-06"
"310","06/04/2003 23:02:04",246944,580808,3,0.706922,"2003-04-06"
"311","16/04/2003 16:20:43",247562,589205,3,0.683295,"2003-04-16"
"312","18/04/2003 23:59:55",246208,584375,3,0.00371037,"2003-04-18"
"313","20/04/2003 00:19:39",245968,585297,3,0.0989494,"2003-04-20"
"314","28/04/2003 21:56:11",244334,589385,3,0.998827,"2003-04-28"
"315","29/04/2003 02:55:05",244556,589408,3,1.28376,"2003-04-29"
"316","14/05/2003 20:52:16",253628,586247,3,0.755569,"2003-05-14"
"317","14/05/2003 22:23:47",252398,586537,3,0.772504,"2003-05-14"
"318","21/05/2003 04:57:09",247342,565862,3,1.10915,"2003-05-21"
"319","23/05/2003 02:59:51",251223,567330,3,0.560444,"2003-05-23"
"320","31/05/2003 23:12:26",254311,585499,3,0.773853,"2003-05-31"
"321","03/06/2003 16:15:39",241338,595230,3,1.45067,"2003-06-03"
"322","06/06/2003 14:27:16",241450,582821,3,0.680869,"2003-06-06"
"323","08/06/2003 05:30:47",248645,579263,3,1.01581,"2003-06-08"
"324","08/06/2003 08:14:17",245028,587988,3,1.46814,"2003-06-08"
"325","16/06/2003 00:44:17",223498,553371,3,2.2565,"2003-06-16"
"326","05/08/2003 18:45:08",233667,554824,3,1.10737,"2003-08-05"
"327","07/08/2003 08:24:21",246306,596770,3,1.65577,"2003-08-07"
"328","07/08/2003 10:56:40",245651,596219,3,1.30244,"2003-08-07"
"329","20/08/2003 08:46:15",250616,569784,3,0.501404,"2003-08-20"
"330","25/08/2003 04:24:55",249051,569903,3,0.708593,"2003-08-25"
"331","25/08/2003 10:05:36",249274,569907,3,0.895584,"2003-08-25"
"332","22/09/2003 17:50:11",241553,601765,3,2.36394,"2003-09-22"
"333","27/09/2003 13:57:54",242203,596507,3,2.71257,"2003-09-27"
"334","11/10/2003 11:44:08",267383,539978,2,1.61042,"2003-10-11"
"335","24/10/2003 01:52:41",248644,590748,3,2.95329,"2003-10-24"
"336","26/10/2003 09:17:00",248402,591745,3,1.21564,"2003-10-26"
"337","29/10/2003 14:30:09",248311,579239,3,0.984998,"2003-10-29"
"338","10/11/2003 00:22:38",241805,593995,3,2.98611,"2003-11-10"
"339","10/11/2003 02:40:55",243089,596673,3,1.42764,"2003-11-10"
"340","16/11/2003 20:04:11",242545,596050,3,2.66986,"2003-11-16"
"341","26/12/2003 10:09:59",249257,593506,3,1.41197,"2003-12-26"
"342","26/12/2003 17:05:11",246645,567222,3,-0.564512,"2003-12-26"
"343","28/12/2003 04:29:18",247102,566729,3,-0.332448,"2003-12-28"
"344","29/12/2003 13:09:59",258308,596271,3,1.46893,"2003-12-29"
"345","12/01/2004 01:05:48",245756,578856,3,1.57855,"2004-01-12"
"346","24/01/2004 13:53:45",243916,587986,3,0.952689,"2004-01-24"
"347","30/01/2004 11:47:41",253712,592947,3,1.16875,"2004-01-30"
"348","07/03/2004 07:18:30",252633,569435,3,0.163735,"2004-03-07"
"349","08/03/2004 01:41:16",255539,590609,3,0.43661,"2004-03-08"
"350","16/03/2004 23:49:41",255005,568092,3,0.959013,"2004-03-16"
"351","21/03/2004 17:05:45",257184,586469,3,1.43995,"2004-03-21"
"352","26/03/2004 02:32:46",253362,588356,3,0.481603,"2004-03-26"
"353","15/04/2004 04:50:24",249754,562514,3,0.989282,"2004-04-15"
