#Network , Station , Location , Channel , Latitude , Longitude , Elevation , Depth , Azimuth , Dip , SensorDescription , Scale , ScaleFreq , ScaleUnits , SampleRate , StartTime , EndTime
NL,BLOP,,HGE,53.33391,6.74663,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,23/09/2013 00:00,31/12/2599 23:59
NL,BLOP,,HGN,53.33391,6.74663,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,23/09/2013 00:00,31/12/2599 23:59
NL,BLOP,,HGZ,53.33391,6.74663,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,23/09/2013 00:00,31/12/2599 23:59
NL,BMD1,,HGE,53.34726,6.64225,2,0,90,0,EpiS,213867.4766,1,M/S**2,200,11/09/2013 00:00,11/03/2014 05:16
NL,BMD1,,HGN,53.34726,6.64225,2,0,0,0,EpiS,213867.4766,1,M/S**2,200,11/09/2013 00:00,11/03/2014 05:16
NL,BMD1,,HGZ,53.34726,6.64225,2,0,0,-90,EpiS,213867.4766,1,M/S**2,200,11/09/2013 00:00,11/03/2014 05:16
NL,BMD2,,HGE,53.35325,6.6472,0,0,90,0,EpiS,213867.4766,1,M/S**2,200,10/09/2013 00:00,05/12/2019 14:10
NL,BMD2,,HGE,53.35325,6.6472,0,0,90,0,EpiS,213867.4766,1,M/S**2,200,05/12/2019 14:10,31/12/2599 23:59
NL,BMD2,,HGN,53.35325,6.6472,0,0,0,0,EpiS,213867.4766,1,M/S**2,200,10/09/2013 00:00,05/12/2019 14:10
NL,BMD2,,HGN,53.35325,6.6472,0,0,0,0,EpiS,213867.4766,1,M/S**2,200,05/12/2019 14:10,31/12/2599 23:59
NL,BMD2,,HGZ,53.35325,6.6472,0,0,0,-90,EpiS,213867.4766,1,M/S**2,200,10/09/2013 00:00,05/12/2019 14:10
NL,BMD2,,HGZ,53.35325,6.6472,0,0,0,-90,EpiS,213867.4766,1,M/S**2,200,05/12/2019 14:10,31/12/2599 23:59
NL,BONL,,HGE,53.40014,6.75483,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,19/09/2013 00:00,23/08/2015 00:00
NL,BONL,,HGN,53.40014,6.75483,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,19/09/2013 00:00,23/08/2015 00:00
NL,BONL,,HGZ,53.40014,6.75483,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,19/09/2013 00:00,23/08/2015 00:00
NL,BOWW,,HGE,53.34053,6.8125,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,01/10/2013 00:00,31/12/2599 23:59
NL,BOWW,,HGN,53.34053,6.8125,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,01/10/2013 00:00,31/12/2599 23:59
NL,BOWW,,HGZ,53.34053,6.8125,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,01/10/2013 00:00,31/12/2599 23:59
NL,BRSW,,HGE,52.842316,7.032279,12.5,0,90,0,EpiS,213867.4766,1,M/S**2,200,28/02/2019 00:00,31/12/2599 23:59
NL,BRSW,,HGN,52.842316,7.032279,12.5,0,0,0,EpiS,213867.4766,1,M/S**2,200,28/02/2019 00:00,31/12/2599 23:59
NL,BRSW,,HGZ,52.842316,7.032279,12.5,0,0,-90,EpiS,213867.4766,1,M/S**2,200,28/02/2019 00:00,31/12/2599 23:59
NL,BRTL,,HG1,53.237996,6.393218,-0.1,0,0,0,EpiS,427819.209,1,M/S**2,200,20/05/2022 00:00,31/12/2599 23:59
NL,BRTL,,HG2,53.237996,6.393218,-0.1,0,90,0,EpiS,427819.209,1,M/S**2,200,20/05/2022 00:00,31/12/2599 23:59
NL,BRTL,,HGZ,53.237996,6.393218,-0.1,0,0,-90,EpiS,427819.209,1,M/S**2,200,20/05/2022 00:00,31/12/2599 23:59
NL,BSTD,,HGE,53.312297,6.692137,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,11/06/2015 00:00
NL,BSTD,,HGE,53.312297,6.692137,1,0,90,0,EpiS,1710939.813,1,M/S**2,100,11/06/2015 00:00,07/10/2015 12:25
NL,BSTD,,HGE,53.312297,6.692137,1,0,90,0,EpiS,1710939.813,1,M/S**2,200,07/10/2015 12:25,23/10/2015 11:03
NL,BSTD,,HGE,53.312297,6.692137,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,23/10/2015 11:03,05/12/2019 13:00
NL,BSTD,,HGN,53.312297,6.692137,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,11/06/2015 00:00
NL,BSTD,,HGN,53.312297,6.692137,1,0,0,0,EpiS,1710939.813,1,M/S**2,100,11/06/2015 00:00,07/10/2015 12:25
NL,BSTD,,HGN,53.312297,6.692137,1,0,0,0,EpiS,1710939.813,1,M/S**2,200,07/10/2015 12:25,23/10/2015 11:03
NL,BSTD,,HGN,53.312297,6.692137,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,23/10/2015 11:03,05/12/2019 13:00
NL,BSTD,,HGZ,53.312297,6.692137,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,11/06/2015 00:00
NL,BSTD,,HGZ,53.312297,6.692137,1,0,0,-90,EpiS,1710939.813,1,M/S**2,100,11/06/2015 00:00,07/10/2015 12:25
NL,BSTD,,HGZ,53.312297,6.692137,1,0,0,-90,EpiS,1710939.813,1,M/S**2,200,07/10/2015 12:25,23/10/2015 11:03
NL,BSTD,,HGZ,53.312297,6.692137,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,23/10/2015 11:03,05/12/2019 13:00
NL,BSTD,0,HGE,53.31215,6.692101,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,05/12/2019 13:00,31/12/2599 23:59
NL,BSTD,0,HGN,53.31215,6.692101,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,05/12/2019 13:00,31/12/2599 23:59
NL,BSTD,0,HGZ,53.31215,6.692101,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,05/12/2019 13:00,31/12/2599 23:59
NL,BUHZ,,HGE,53.40704,6.67266,2,0,90,0,EpiS,213867.4766,1,M/S**2,200,07/10/2013 00:00,06/12/2019 00:00
NL,BUHZ,,HGN,53.40704,6.67266,2,0,0,0,EpiS,213867.4766,1,M/S**2,200,07/10/2013 00:00,06/12/2019 00:00
NL,BUHZ,,HGZ,53.40704,6.67266,2,0,0,-90,EpiS,213867.4766,1,M/S**2,200,07/10/2013 00:00,06/12/2019 00:00
NL,BWIN,,HGE,53.3112,6.74837,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,07/12/2019 00:00
NL,BWIN,,HGN,53.3112,6.74837,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,07/12/2019 00:00
NL,BWIN,,HGZ,53.3112,6.74837,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,07/12/2019 00:00
NL,BWIR,,HGE,53.32257,6.7861,0,0,90,0,EpiS,213867.4766,1,M/S**2,200,24/09/2013 00:00,31/12/2599 23:59
NL,BWIR,,HGN,53.32257,6.7861,0,0,0,0,EpiS,213867.4766,1,M/S**2,200,24/09/2013 00:00,31/12/2599 23:59
NL,BWIR,,HGZ,53.32257,6.7861,0,0,0,-90,EpiS,213867.4766,1,M/S**2,200,24/09/2013 00:00,31/12/2599 23:59
