"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"151",2304,"NL","OPLO","BHE",51.5888,5.8121,"1998-09-03T00:00:00","2009-10-28T00:00:00",184445.7748,400073.7043,"E","1998","2009"
"152",2311,"NL","OPLO","BHE",51.5888,5.8121,"2009-10-29T00:00:00","2599-12-31T23:59:59",184445.7748,400073.7043,"E","2009","2599"
"153",2314,"NL","OPLO","LCE",51.5888,5.8121,"2009-10-29T00:00:00","2599-12-31T23:59:59",184445.7748,400073.7043,"E","2009","2599"
"154",2328,"NL","OTL1","HHE",52.6289,4.8227,"1995-04-21T00:00:00","2010-10-11T00:00:00",116779.5719,515858.6099,"E","1995","2010"
"155",2331,"NL","OTL1","HHE",52.6289,4.8227,"2010-10-11T00:00:00","2019-07-02T10:15:00",116779.5719,515858.6099,"E","2010","2019"
"156",2334,"NL","OTL1","HHE",52.6289,4.8227,"2019-07-02T10:15:00","2599-12-31T23:59:59",116779.5719,515858.6099,"E","2019","2599"
"157",2337,"NL","OTL2","HHE",52.6289,4.8227,"1995-04-21T00:00:00","2010-10-11T00:00:00",116779.5719,515858.6099,"E","1995","2010"
"158",2340,"NL","OTL2","HHE",52.6289,4.8227,"2010-10-11T00:00:00","2019-07-02T10:15:00",116779.5719,515858.6099,"E","2010","2019"
"159",2343,"NL","OTL2","HHE",52.6289,4.8227,"2019-07-02T10:15:00","2599-12-31T23:59:59",116779.5719,515858.6099,"E","2019","2599"
"160",2346,"NL","OTL3","HHE",52.6289,4.8227,"1995-04-21T00:00:00","2010-10-11T00:00:00",116779.5719,515858.6099,"E","1995","2010"
"161",2349,"NL","OTL3","HHE",52.6289,4.8227,"2010-10-11T00:00:00","2019-07-02T10:15:00",116779.5719,515858.6099,"E","2010","2019"
"162",2352,"NL","OTL3","HHE",52.6289,4.8227,"2019-07-02T10:15:00","2599-12-31T23:59:59",116779.5719,515858.6099,"E","2019","2599"
"163",2355,"NL","OTL4","HHE",52.6289,4.8227,"1995-04-21T00:00:00","2010-10-11T00:00:00",116779.5719,515858.6099,"E","1995","2010"
"164",2358,"NL","OTL4","HHE",52.6289,4.8227,"2010-10-11T00:00:00","2019-07-02T10:15:00",116779.5719,515858.6099,"E","2010","2019"
"165",2361,"NL","OTL4","HHE",52.6289,4.8227,"2019-07-02T10:15:00","2599-12-31T23:59:59",116779.5719,515858.6099,"E","2019","2599"
"166",2367,"NL","PPB1","HHE",52.6526,4.67,"1995-02-10T00:00:00","2010-11-16T00:00:00",106467.2169,518587.2428,"E","1995","2010"
"167",2370,"NL","PPB1","HHE",52.6526,4.67,"2010-11-16T00:00:00","2019-07-02T07:05:00",106467.2169,518587.2428,"E","2010","2019"
"168",2373,"NL","PPB1","HHE",52.6526,4.67,"2019-07-02T07:05:00","2599-12-31T23:59:59",106467.2169,518587.2428,"E","2019","2599"
"169",2376,"NL","PPB2","HHE",52.6526,4.67,"1995-02-10T00:00:00","2010-11-16T00:00:00",106467.2169,518587.2428,"E","1995","2010"
"170",2379,"NL","PPB2","HHE",52.6526,4.67,"2010-11-16T00:00:00","2019-07-02T07:05:00",106467.2169,518587.2428,"E","2010","2019"
"171",2382,"NL","PPB2","HHE",52.6526,4.67,"2019-07-02T07:05:00","2599-12-31T23:59:59",106467.2169,518587.2428,"E","2019","2599"
"172",2385,"NL","PPB3","HHE",52.6526,4.67,"1995-02-10T00:00:00","2010-11-16T00:00:00",106467.2169,518587.2428,"E","1995","2010"
"173",2388,"NL","PPB3","HHE",52.6526,4.67,"2010-11-16T00:00:00","2019-07-02T07:05:00",106467.2169,518587.2428,"E","2010","2019"
"174",2391,"NL","PPB3","HHE",52.6526,4.67,"2019-07-02T07:05:00","2599-12-31T23:59:59",106467.2169,518587.2428,"E","2019","2599"
"175",2394,"NL","PPB4","HHE",52.6526,4.67,"1995-02-10T00:00:00","2010-11-16T00:00:00",106467.2169,518587.2428,"E","1995","2010"
"176",2397,"NL","PPB4","HHE",52.6526,4.67,"2010-11-16T00:00:00","2019-07-02T07:05:00",106467.2169,518587.2428,"E","2010","2019"
"177",2400,"NL","PPB4","HHE",52.6526,4.67,"2019-07-02T07:05:00","2599-12-31T23:59:59",106467.2169,518587.2428,"E","2019","2599"
"178",2403,"NL","ROLD","BHE",50.86939,6.08469,"2015-04-16T00:00:00","2599-12-31T23:59:59",204100.8776,320187.1955,"E","2015","2599"
