X,Y,topo_gradients_smoothed
230500.00,611500.00,2.030286e-02
230500.00,612000.00,1.845255e-02
230500.00,612500.00,1.664796e-02
230500.00,613000.00,1.494481e-02
230500.00,613500.00,1.340295e-02
230500.00,614000.00,1.208042e-02
230500.00,614500.00,1.103377e-02
230500.00,615000.00,1.030734e-02
230500.00,615500.00,9.935471e-03
231000.00,566500.00,1.572784e-03
231000.00,567000.00,1.686750e-03
231000.00,567500.00,1.910392e-03
231000.00,568000.00,2.235604e-03
231000.00,568500.00,2.649190e-03
231000.00,569000.00,3.133792e-03
231000.00,569500.00,3.667994e-03
231000.00,570000.00,4.227530e-03
231000.00,570500.00,4.786390e-03
231000.00,571000.00,5.318171e-03
231000.00,571500.00,5.798769e-03
231000.00,572000.00,6.208302e-03
231000.00,572500.00,6.533144e-03
231000.00,573000.00,6.766396e-03
231000.00,573500.00,6.909467e-03
231000.00,574000.00,6.970308e-03
231000.00,574500.00,6.963411e-03
231000.00,575000.00,6.907358e-03
231000.00,575500.00,6.822562e-03
231000.00,576000.00,6.728627e-03
231000.00,576500.00,6.643601e-03
231000.00,577000.00,6.580408e-03
231000.00,577500.00,6.546877e-03
231000.00,578000.00,6.547021e-03
231000.00,578500.00,6.581205e-03
231000.00,579000.00,6.648851e-03
231000.00,579500.00,6.749763e-03
231000.00,580000.00,6.887669e-03
231000.00,580500.00,7.070261e-03
231000.00,581000.00,7.312506e-03
231000.00,581500.00,7.635811e-03
231000.00,582000.00,8.067200e-03
231000.00,582500.00,8.637144e-03
231000.00,583000.00,9.376128e-03
231000.00,583500.00,1.031023e-02
231000.00,584000.00,1.145860e-02
231000.00,584500.00,1.282566e-02
231000.00,585000.00,1.440184e-02
231000.00,585500.00,1.615943e-02
231000.00,586000.00,1.805339e-02
231000.00,586500.00,2.002568e-02
231000.00,587000.00,2.200914e-02
231000.00,587500.00,2.393544e-02
231000.00,588000.00,2.574244e-02
231000.00,588500.00,2.738134e-02
231000.00,589000.00,2.882373e-02
231000.00,589500.00,3.006350e-02
231000.00,590000.00,3.111615e-02
231000.00,590500.00,3.201692e-02
231000.00,591000.00,3.281139e-02
231000.00,591500.00,3.355166e-02
231000.00,592000.00,3.428574e-02
231000.00,592500.00,3.505056e-02
231000.00,593000.00,3.586789e-02
231000.00,593500.00,3.674030e-02
231000.00,594000.00,3.765293e-02
231000.00,594500.00,3.857463e-02
231000.00,595000.00,3.946456e-02
231000.00,595500.00,4.027605e-02
231000.00,596000.00,4.096445e-02
231000.00,596500.00,4.149091e-02
231000.00,597000.00,4.182825e-02
231000.00,597500.00,4.196439e-02
231000.00,598000.00,4.190133e-02
231000.00,598500.00,4.165688e-02
231000.00,599000.00,4.126104e-02
231000.00,599500.00,4.075292e-02
231000.00,600000.00,4.017562e-02
231000.00,600500.00,3.957415e-02
231000.00,601000.00,3.898800e-02
231000.00,601500.00,3.845012e-02
231000.00,602000.00,3.798379e-02
231000.00,602500.00,3.760117e-02
231000.00,603000.00,3.730346e-02
231000.00,603500.00,3.708034e-02
231000.00,604000.00,3.691252e-02
231000.00,604500.00,3.677141e-02
231000.00,605000.00,3.662274e-02
231000.00,605500.00,3.642861e-02
231000.00,606000.00,3.615057e-02
231000.00,606500.00,3.575225e-02
231000.00,607000.00,3.520233e-02
231000.00,607500.00,3.447599e-02
231000.00,608000.00,3.355911e-02
231000.00,608500.00,3.244407e-02
231000.00,609000.00,3.113425e-02
231000.00,609500.00,2.964178e-02
231000.00,610000.00,2.798585e-02
231000.00,610500.00,2.619399e-02
231000.00,611000.00,2.430082e-02
231000.00,611500.00,2.234683e-02
231000.00,612000.00,2.038135e-02
231000.00,612500.00,1.845917e-02
231000.00,613000.00,1.664073e-02
231000.00,613500.00,1.499108e-02
231000.00,614000.00,1.357377e-02
231000.00,614500.00,1.245054e-02
231000.00,615000.00,1.167034e-02
231000.00,615500.00,1.127072e-02
231500.00,566500.00,1.854730e-03
231500.00,567000.00,1.989321e-03
231500.00,567500.00,2.253571e-03
231500.00,568000.00,2.638139e-03
231500.00,568500.00,3.127893e-03
231500.00,569000.00,3.702855e-03
231500.00,569500.00,4.338383e-03
231500.00,570000.00,5.006508e-03
231500.00,570500.00,5.677196e-03
231500.00,571000.00,6.319859e-03
231500.00,571500.00,6.906437e-03
231500.00,572000.00,7.413521e-03
231500.00,572500.00,7.824732e-03
231500.00,573000.00,8.131278e-03
231500.00,573500.00,8.333842e-03
231500.00,574000.00,8.440557e-03
231500.00,574500.00,8.467137e-03
231500.00,575000.00,8.434160e-03
231500.00,575500.00,8.364539e-03
231500.00,576000.00,8.280511e-03
231500.00,576500.00,8.202580e-03
231500.00,577000.00,8.145945e-03
231500.00,577500.00,8.120008e-03
231500.00,578000.00,8.129780e-03
231500.00,578500.00,8.175936e-03
231500.00,579000.00,8.257844e-03
231500.00,579500.00,8.374870e-03
231500.00,580000.00,8.530255e-03
231500.00,580500.00,8.731471e-03
231500.00,581000.00,8.993162e-03
231500.00,581500.00,9.336638e-03
231500.00,582000.00,9.788933e-03
231500.00,582500.00,1.038032e-02
231500.00,583000.00,1.114089e-02
231500.00,583500.00,1.209590e-02
231500.00,584000.00,1.326342e-02
231500.00,584500.00,1.464650e-02
231500.00,585000.00,1.623394e-02
231500.00,585500.00,1.799670e-02
231500.00,586000.00,1.988881e-02
231500.00,586500.00,2.185182e-02
231500.00,587000.00,2.381890e-02
231500.00,587500.00,2.572279e-02
231500.00,588000.00,2.750290e-02
231500.00,588500.00,2.911228e-02
231500.00,589000.00,3.052432e-02
231500.00,589500.00,3.173423e-02
231500.00,590000.00,3.275815e-02
231500.00,590500.00,3.363082e-02
231500.00,591000.00,3.439658e-02
231500.00,591500.00,3.510506e-02
231500.00,592000.00,3.580153e-02
231500.00,592500.00,3.652001e-02
231500.00,593000.00,3.727996e-02
231500.00,593500.00,3.808260e-02
231500.00,594000.00,3.891331e-02
231500.00,594500.00,3.974299e-02
231500.00,595000.00,4.053465e-02
231500.00,595500.00,4.124696e-02
231500.00,596000.00,4.184149e-02
231500.00,596500.00,4.228617e-02
231500.00,597000.00,4.256008e-02
231500.00,597500.00,4.265656e-02
231500.00,598000.00,4.258157e-02
231500.00,598500.00,4.235516e-02
231500.00,599000.00,4.200775e-02
231500.00,599500.00,4.157723e-02
231500.00,600000.00,4.110405e-02
231500.00,600500.00,4.062914e-02
231500.00,601000.00,4.018726e-02
231500.00,601500.00,3.980608e-02
231500.00,602000.00,3.950332e-02
231500.00,602500.00,3.928557e-02
231500.00,603000.00,3.914875e-02
231500.00,603500.00,3.907771e-02
231500.00,604000.00,3.904891e-02
231500.00,604500.00,3.903069e-02
231500.00,605000.00,3.898652e-02
231500.00,605500.00,3.887725e-02
231500.00,606000.00,3.866421e-02
