#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
NL|BLIJE||HG1|53.360325|5.84921|1.2|0.0|0.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2021-02-18T00:00:00|2599-12-31T23:59:59
NL|BLIJE||HG2|53.360325|5.84921|1.2|0.0|90.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2021-02-18T00:00:00|2599-12-31T23:59:59
NL|BLIJE||HGZ|53.360325|5.84921|1.2|0.0|0.0|-90.0|EpiS|427819.209|1.0|M/S**2|200.0|2021-02-18T00:00:00|2599-12-31T23:59:59
NL|BLOP||HGE|53.33391|6.74663|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-23T00:00:00|2599-12-31T23:59:59
NL|BLOP||HGN|53.33391|6.74663|1.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-23T00:00:00|2599-12-31T23:59:59
NL|BLOP||HGZ|53.33391|6.74663|1.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-23T00:00:00|2599-12-31T23:59:59
NL|BMD1||HGE|53.34726|6.64225|2.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-11T00:00:00|2014-03-11T05:16:01
NL|BMD1||HGN|53.34726|6.64225|2.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-11T00:00:00|2014-03-11T05:16:01
NL|BMD1||HGZ|53.34726|6.64225|2.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-11T00:00:00|2014-03-11T05:16:01
NL|BMD2||HGE|53.35325|6.6472|0.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-10T00:00:00|2019-12-05T14:10:00
NL|BMD2||HGE|53.35325|6.6472|0.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2019-12-05T14:10:00|2599-12-31T23:59:59
NL|BMD2||HGN|53.35325|6.6472|0.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-10T00:00:00|2019-12-05T14:10:00
NL|BMD2||HGN|53.35325|6.6472|0.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2019-12-05T14:10:00|2599-12-31T23:59:59
NL|BMD2||HGZ|53.35325|6.6472|0.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-10T00:00:00|2019-12-05T14:10:00
NL|BMD2||HGZ|53.35325|6.6472|0.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2019-12-05T14:10:00|2599-12-31T23:59:59
NL|BONL||HGE|53.40014|6.75483|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-19T00:00:00|2015-08-23T00:00:00
NL|BONL||HGN|53.40014|6.75483|1.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-19T00:00:00|2015-08-23T00:00:00
NL|BONL||HGZ|53.40014|6.75483|1.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-09-19T00:00:00|2015-08-23T00:00:00
