"","X","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"1693",2966,"NL","VRS","HGZ",53.036023,6.604592,7.6,0,"18/02/2019 00:00","31/12/2599 23:59",236658.5727,561702.3873,"18/02/2019","31/12/2599"
"1696",2967,"NL","WDB0","HHE",53.2083,6.7355,-2,0,"24/07/1998 00:00","29/04/2010 00:00",245080.1446,581028.328,"24/07/1998","29/04/2010"
"1726",2997,"NL","WDB4","HHE",53.2083,6.7355,-2,197,"12/04/1995 00:00","29/04/2010 00:00",245080.1446,581028.328,"12/04/1995","29/04/2010"
"1727",3000,"NL","WDB4","HHE",53.2083,6.7355,-2,197,"29/04/2010 00:00","14/06/2016 14:00",245080.1446,581028.328,"29/04/2010","14/06/2016"
"1728",3003,"NL","WDB4","HHE",53.2083,6.7355,-2,197,"14/06/2016 14:00","31/12/2599 23:59",245080.1446,581028.328,"14/06/2016","31/12/2599"
"1735",3009,"NL","WER","HGZ",52.732695,5.141116,-1.6,0,"23/05/2023 00:00","31/12/2599 23:59",138377.4549,527287.3395,"23/05/2023","31/12/2599"
"1738",3012,"NL","WIN","HGZ",53.3104,6.7471,0,1,"03/04/2007 00:00","17/09/2014 00:00",245640.4865,592404.3202,"03/04/2007","17/09/2014"
"1741",3013,"NL","WIT","BHE",52.8135,6.6695,17,0,"16/11/1993 00:00","24/10/2000 00:00",241452.0698,537018.2643,"16/11/1993","24/10/2000"
"1742",3014,"NL","WIT","BHE",52.8135,6.6695,17,0,"13/12/2000 00:00","28/11/2002 00:00",241452.0698,537018.2643,"13/12/2000","28/11/2002"
"1743",3015,"NL","WIT","BHE",52.8135,6.6695,17,0,"28/11/2002 00:00","01/12/2013 00:00",241452.0698,537018.2643,"28/11/2002","01/12/2013"
"1777",3049,"NL","WMH4","HHE",52.7096,4.7498,-1,200,"21/04/1995 00:00","11/10/2010 00:00",111923.0266,524879.0422,"21/04/1995","11/10/2010"
"1778",3052,"NL","WMH4","HHE",52.7096,4.7498,-1,200,"11/10/2010 00:00","02/07/2019 12:25",111923.0266,524879.0422,"11/10/2010","02/07/2019"
"1779",3055,"NL","WMH4","HHE",52.7096,4.7498,-1,200,"02/07/2019 12:25","31/12/2599 23:59",111923.0266,524879.0422,"02/07/2019","31/12/2599"
"1786",3061,"NL","WPS","HGZ",52.843782,6.24352,4,0,"15/03/2023 00:00","31/12/2599 23:59",212693.7874,539962.5487,"15/03/2023","31/12/2599"
"1789",3064,"NL","WSE","HGZ",53.3444,6.7099,0,1,"11/10/2006 00:00","24/04/2013 00:00",243091.6663,596141.6604,"11/10/2006","24/04/2013"
"1792",3067,"NL","WSVN","HGZ",52.820413,6.198276,2.6,0,"23/11/2020 00:00","31/12/2599 23:59",209674.7938,537327.0343,"23/11/2020","31/12/2599"
"1795",3068,"NL","WTSB","BHE",51.9663,6.7989,43,0,"21/02/2000 00:00","29/10/2003 00:00",252012.6944,442929.1601,"21/02/2000","29/10/2003"
"1796",3071,"NL","WTSB","BHE",51.9663,6.7989,43,0,"29/10/2003 00:00","13/06/2007 00:00",252012.6944,442929.1601,"29/10/2003","13/06/2007"
"1797",3074,"NL","WTSB","BHE",51.9663,6.7989,43,0,"03/07/2007 00:00","31/12/2599 23:59",252012.6944,442929.1601,"03/07/2007","31/12/2599"
"1814",3097,"NL","WYN4","HHE",53.1995,5.4578,0,120,"03/03/2010 00:00","31/12/2599 23:59",159717.4804,579208.1003,"03/03/2010","31/12/2599"
"1817",3102,"NL","ZAN1","HGZ",53.3657,6.7751,0,1,"29/06/1999 00:00","24/10/2013 00:00",247387.9104,598593.7141,"29/06/1999","24/10/2013"
"1820",3105,"NL","ZAN2","HGZ",53.3568,6.7547,0,1,"29/06/1999 00:00","03/07/2000 00:00",246048.8832,597577.3108,"29/06/1999","03/07/2000"
"1821",3108,"NL","ZAN2","HGZ",53.3568,6.7547,0,1,"03/07/2000 00:00","02/07/2002 00:00",246048.8832,597577.3108,"03/07/2000","02/07/2002"
"1822",3111,"NL","ZAN2","HGZ",53.3568,6.7547,0,1,"30/09/2003 00:00","23/09/2013 00:00",246048.8832,597577.3108,"30/09/2003","23/09/2013"
"1829",3114,"NL","ZDL","HGZ",53.079058,6.702562,3.6,0,"01/03/2021 00:00","31/12/2599 23:59",243142.2475,566606.3458,"01/03/2021","31/12/2599"
"1838",3129,"NL","ZH014","HHZ",51.913745,4.288099,-2,200,"14/12/2018 00:00","31/12/2599 23:59",79379.1752,436710.9061,"14/12/2018","31/12/2599"
"1845",3144,"NL","ZH024","HHZ",52.074445,4.488386,-3.5,200,"28/05/2020 00:00","31/12/2599 23:59",93380.03876,454399.6468,"28/05/2020","31/12/2599"
"1852",3159,"NL","ZH034","HHZ",51.978334,4.400113,-3,200,"06/04/2020 00:00","31/12/2599 23:59",87183.25327,443785.8058,"06/04/2020","31/12/2599"
"1859",3174,"NL","ZH044","HHZ",51.841711,4.362561,5.8,200,"05/01/2021 00:00","31/12/2599 23:59",84389.13742,428622.4148,"05/01/2021","31/12/2599"
"1863",3186,"NL","ZH054","HHZ",51.842962,4.552365,-0.4,200,"03/02/2023 00:00","31/12/2599 23:59",97470.20833,428594.3606,"03/02/2023","31/12/2599"
"1870",3201,"NL","ZH064","HHZ",51.978115,4.220353,0.6,200,"06/04/2020 00:00","31/12/2599 23:59",74833.36259,443944.5194,"06/04/2020","31/12/2599"
"1877",3216,"NL","ZH074","HHZ",52.103651,4.294567,1.4,200,"22/04/2022 00:00","31/12/2599 23:59",80141.98574,457831.0544,"22/04/2022","31/12/2599"
"1884",3231,"NL","ZH084","HHZ",52.02549,4.37935,-2.7,200,"15/05/2023 00:00","31/12/2599 23:59",85829.61155,449051.5051,"15/05/2023","31/12/2599"
"1885",3234,"NL","ZH085","HHZ",52.02591,4.38044,-2.7,50,"15/05/2023 00:00","31/12/2599 23:59",85905.06419,449097.1929,"15/05/2023","31/12/2599"
"1886",3237,"NL","ZH086","HHZ",52.02474,4.38011,-3.1,50,"15/05/2023 00:00","31/12/2599 23:59",85880.61208,448967.3437,"15/05/2023","31/12/2599"
"1888",3243,"NL","ZH088","HHZ",52.02556,4.37942,-2.7,490,"15/05/2023 00:00","31/12/2599 23:59",85834.5236,449059.226,"15/05/2023","31/12/2599"
"1970",3326,"NL","ZLV4","HHE",53.0921,6.7533,2,200,"12/04/1995 00:00","18/05/2010 00:00",246514.4271,568120.7746,"12/04/1995","18/05/2010"
"1926",3283,"NL","ZL24","HHE",53.0921,6.7533,2,175,"10/04/2009 00:00","14/08/2014 00:00",246514.4271,568120.7746,"10/04/2009","14/08/2014"
"1927",3286,"NL","ZL24","HHE",53.0921,6.7533,2,175,"14/08/2014 00:00","23/09/2014 00:00",246514.4271,568120.7746,"14/08/2014","23/09/2014"
"1928",3289,"NL","ZL24","HHE",53.0921,6.7533,2,175,"23/09/2014 00:00","23/03/2018 00:00",246514.4271,568120.7746,"23/09/2014","23/03/2018"
"1971",3329,"NL","ZLV4","HHE",53.0921,6.7533,2,200,"18/05/2010 00:00","15/06/2016 11:00",246514.4271,568120.7746,"18/05/2010","15/06/2016"
"1972",3332,"NL","ZLV4","HHE",53.0921,6.7533,2,200,"15/06/2016 11:00","31/12/2599 23:59",246514.4271,568120.7746,"15/06/2016","31/12/2599"
"1980",3339,"NL","ZWD1","EPE",53.089813,6.935792,0,79,"10/10/2020 00:00","31/12/2599 23:59",258743.7623,568113.4607,"10/10/2020","31/12/2599"
"1986",3345,"NL","ZWDA2","EPE",53.087746,6.926277,0,90,"10/10/2020 00:00","31/12/2599 23:59",258111.3071,567869.8194,"10/10/2020","31/12/2599"
"1992",3351,"NL","ZWDA4","EPE",53.082977,6.922185,0,90,"10/10/2020 00:00","31/12/2599 23:59",257848.4895,567333.34,"10/10/2020","31/12/2599"
"1998",3357,"NL","ZWDA8","EPE",53.090225,6.919384,0,90,"10/10/2020 00:00","31/12/2599 23:59",257643.6907,568135.8141,"10/10/2020","31/12/2599"
"2004",3363,"NL","ZWDX1","EPE",53.089134,6.944007,0,90,"10/10/2020 00:00","31/12/2599 23:59",259295.678,568049.7646,"10/10/2020","31/12/2599"
"2010",3369,"NL","ZWDX2","EPE",53.081726,6.943411,0,90,"10/10/2020 00:00","31/12/2599 23:59",259273.5501,567224.6375,"10/10/2020","31/12/2599"
"2024",3381,"NL","ZWE4","HHE",53.1885,5.6045,0,120,"24/03/2010 00:00","31/12/2599 23:59",169524.6658,578003.5342,"24/03/2010","31/12/2599"
