"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"97",3129,"NL","BLOP","HGE",53.33391,6.74663,"2013-09-23T00:00:00","2599-12-31T23:59:59",245559.7438,595019.9156,"E","2013","2599"
"98",3132,"NL","BMD1","HGE",53.34726,6.64225,"2013-09-11T00:00:00","2014-03-11T05:16:01",238580.9389,596379.2337,"E","2013","2014"
"99",3135,"NL","BMD2","HGE",53.35325,6.6472,"2013-09-10T00:00:00","2019-12-05T14:10:00",238898.8933,597051.5785,"E","2013","2019"
"100",3136,"NL","BMD2","HGE",53.35325,6.6472,"2019-12-05T14:10:00","2599-12-31T23:59:59",238898.8933,597051.5785,"E","2019","2599"
"101",3141,"NL","BONL","HGE",53.40014,6.75483,"2013-09-19T00:00:00","2015-08-23T00:00:00",245965.8504,602400.4268,"E","2013","2015"
"102",3144,"NL","BOWW","HGE",53.34053,6.8125,"2013-10-01T00:00:00","2599-12-31T23:59:59",249932.7742,595841.4772,"E","2013","2599"
"103",3147,"NL","BSTD","HGE",53.312297,6.692137,"2014-09-17T00:00:00","2015-06-11T00:00:00",241973.5175,592547.6047,"E","2014","2015"
"104",3148,"NL","BSTD","HGE",53.312297,6.692137,"2015-06-11T00:00:00","2015-10-07T12:25:00",241973.5175,592547.6047,"E","2015","2015"
"105",3149,"NL","BSTD","HGE",53.312297,6.692137,"2015-10-07T12:25:00","2015-10-23T11:03:00",241973.5175,592547.6047,"E","2015","2015"
"106",3150,"NL","BSTD","HGE",53.312297,6.692137,"2015-10-23T11:03:00","2019-12-05T13:00:00",241973.5175,592547.6047,"E","2015","2019"
"107",3159,"NL","BSTD","HGE",53.31215,6.692101,"2019-12-05T13:00:00","2599-12-31T23:59:59",241971.4148,592531.203,"E","2019","2599"
"108",3162,"NL","BUHZ","HGE",53.40704,6.67266,"2013-10-07T00:00:00","2019-12-06T00:00:00",240487.1077,603067.5024,"E","2013","2019"
"109",3165,"NL","BWIN","HGE",53.3112,6.74837,"2014-09-17T00:00:00","2019-12-07T00:00:00",245723.4446,592494.9436,"E","2014","2019"
